symbol,ThaiCompanyName,EngCompanyName,logo
SET:AMATA,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),AMATA CORP,https://s3-symbol-logo.tradingview.com/amata-corporation-public-company-limited.svg
SET:AMATAV,บริษัท อมตะ วีเอ็น จำกัด (มหาชน),AMATA VN PUBLIC COMPANY LIMITED,https://s3-symbol-logo.tradingview.com/amata-vn-public-company-limited-non-voting.svg
SET:AMC,บริษัท เอเซีย เมทัล จำกัด (มหาชน),ASIA METAL PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/asia-metal-public-co-ltd-non-voting.svg
SET:AMR,บริษัท เอเอ็มอาร์ เอเซีย จำกัด (มหาชน),AMR ASIA PCL,https://s3-symbol-logo.tradingview.com/amr-asia-pcl-non-voting.svg
SET:ANAN,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),ANANDA DEVELOPMENT PCL,https://s3-symbol-logo.tradingview.com/ananda.svg
SET:ANI,บริษัท เอเชีย เน็ตเวิร์ค อินเตอร์เนชั่นแนล จำกัด (มหาชน),ASIA NETWORK INTERNATIONAL PCL,https://s3-symbol-logo.tradingview.com/asia-network-international-pcl-non-voting.svg
SET:AOT,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),AIRPORTS OF THAILAND PUBLIC CO,https://s3-symbol-logo.tradingview.com/airports-of-thailand.svg
SET:AP,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),AP (THAILAND) PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/ap-thailand-public-company-limited.svg
SET:APCO,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จำกัด (มหาชน),ASIAN PHYTOCEUTICALS PCL,https://s3-symbol-logo.tradingview.com/asian-phytoceuticals-pcl-non-voting.svg
SET:APCS,บริษัท เอเซีย พรีซิชั่น จำกัด (มหาชน),ASIA PRECISION PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/asia-precision-public-company-ltd-non-voting.svg
SET:APO,บริษัท เอเชียนน้ำมันปาล์ม จำกัด (มหาชน),ASIAN PALM OIL PLC,https://s3-symbol-logo.tradingview.com/asian-palm-oil-plc-non-voting.svg
SET:APP,บริษัท แอพพลิแคด จำกัด (มหาชน),APPLICAD PCL,https://s3-symbol-logo.tradingview.com/applicad-pcl-non-voting.svg
SET:APURE,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน),AGRIPURE HOLDINGS PCL,https://s3-symbol-logo.tradingview.com/agripure-holdings-public-company-limited.svg
SET:AQUA,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),AQUA CORPORATION PCL,https://s3-symbol-logo.tradingview.com/aqua-corporation.svg
SET:ARIN,บริษัท อรินสิริ แลนด์ จำกัด (มหาชน),ARINSIRI LAND PCL,https://s3-symbol-logo.tradingview.com/arinsiri-land-pcl-non-voting.svg
SET:ARIP,บริษัท เออาร์ไอพี จำกัด (มหาชน),ARIP PUBLIC COMPANY LIMITED,https://s3-symbol-logo.tradingview.com/arip-public-company-limited-non-voting.svg
SET:ARROW,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน),ARROW SYNDICATE PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/arrow-syndicate-public-co-ltd-non-voting.svg
SET:AS,บริษัท แอสเฟียร์ อินโนเวชั่นส์ จำกัด (มหาชน),ASPHERE INNOVATIONS PCL,https://s3-symbol-logo.tradingview.com/asiasoft-corporation-public-company.svg
SET:ASAP,บริษัท ซินเนอร์เจติค ออโต้ เพอร์ฟอร์มานซ์ จำกัด (มหาชน),SYNERGETIC AUTO PERFORMANCE PCL,https://s3-symbol-logo.tradingview.com/synergetic-auto-performance-pcl-non-voting.svg
SET:ASEFA,บริษัท อาซีฟา จำกัด (มหาชน),ASEFA PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/asefa-public-co-ltd-non-voting.svg
SET:ASIA,บริษัท เอเชียโฮเต็ล จำกัด (มหาชน),ASIA HOTEL CO,https://s3-symbol-logo.tradingview.com/asia-hotel-co-non-voting.svg
SET:ASIAN,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),ASIAN SEA CORP PCL,https://s3-symbol-logo.tradingview.com/asian-sea-corporation-public-company.svg
SET:ASIMAR,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน),ASIAN MARINE SERVICES PUBLIC CO,https://s3-symbol-logo.tradingview.com/asian-marine-services-public-co-non-voting.svg
SET:ASK,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),ASIA SERMKIJ LEASING PCL,https://s3-symbol-logo.tradingview.com/asia-sermkij-leasing-public-company.svg
SET:ASN,บริษัท เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน),ASN BROKER PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/asn-broker-public-company-ltd-non-voting.svg
SET:ASP,บริษัท เอเซีย พลัส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),ASIA PLUS GROUP HLDGS PCL,https://s3-symbol-logo.tradingview.com/asia-plus-public-company-ltd.svg
SET:ASW,บริษัท แอสเซทไวส์ จำกัด (มหาชน),ASSETWISE PCL,https://s3-symbol-logo.tradingview.com/assetwise-pcl-non-voting.svg
SET:ATP30,บริษัท เอทีพี 30 จำกัด (มหาชน),ATP30 PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/atp30.svg
SET:AU,บริษัท อาฟเตอร์ ยู จำกัด (มหาชน),AFTER YOU PCL,https://s3-symbol-logo.tradingview.com/after-you-pcl-non-voting.svg
SET:AUCT,บริษัท สหการประมูล จำกัด (มหาชน),UNION AUCTION PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/union-auction.svg
SET:AURA,บริษัท ออโรร่า ดีไซน์ จำกัด (มหาชน),AURORA DESIGN PCL,https://s3-symbol-logo.tradingview.com/aurora-design-pcl-non-voting.svg
SET:AWC,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),ASSET WORLD CORP PCL,https://s3-symbol-logo.tradingview.com/asset-world-corp-public-company-limited.svg
SET:AYUD,บริษัท อลิอันซ์ อยุธยา แคปปิตอล จำกัด (มหาชน),ALLIANZ AYUDHYA CAPITAL PCL,https://s3-symbol-logo.tradingview.com/allianz-ayudhya-capital-public-company.svg
SET:B,บริษัท บี จิสติกส์ จำกัด (มหาชน),BEGISTICS PCL,https://s3-symbol-logo.tradingview.com/begistics.svg
SET:B52,บริษัท บี-52 แคปปิตอล จำกัด (มหาชน),B-52 CAPITAL PCL,https://s3-symbol-logo.tradingview.com/b-52-capital-pcl-non-voting.svg
SET:BA,บริษัท การบินกรุงเทพ จำกัด (มหาชน),BANGKOK AIRWAYS PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/bangkok-airways-public-company-limited.svg
SET:BAFS,บริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด (มหาชน),BANGKOK AVIATION FUEL SERVICE,https://s3-symbol-logo.tradingview.com/bangkok-aviation-fuel-services.svg
SET:BAM,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน),BANGKOK COMMERCIAL ASSET MGT PCL,https://s3-symbol-logo.tradingview.com/bangkok-commercial-asset-management.svg
SET:BANPU,บริษัท บ้านปู จำกัด (มหาชน),BANPU PUBLIC COMPANY LIMITED,https://s3-symbol-logo.tradingview.com/banpu.svg
SET:BAY,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),BANK OF AYUDHYA PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/bank-of-ayudhya-public-company-limited.svg
SET:BBGI,บริษัท บีบีจีไอ จำกัด (มหาชน),BBGI PUBLIC COMPANY LIMITED,https://s3-symbol-logo.tradingview.com/bbgi-public-company-limited-non-voting.svg
SET:BBIK,บริษัท บลูบิค กรุ๊ป จำกัด (มหาชน),BLUEBIK GROUP PCL,https://s3-symbol-logo.tradingview.com/bluebik-group.svg
SET:BBL,ธนาคารกรุงเทพ จำกัด (มหาชน),BANGKOK BANK PUBLIC CO,https://s3-symbol-logo.tradingview.com/bangkok-bank-public-company-limited.svg
SET:BC,บริษัท บูทิค คอร์ปอเรชั่น จำกัด (มหาชน),BOUTIQUE CORPORATION PCL,https://s3-symbol-logo.tradingview.com/boutique-pcl-non-voting.svg
SET:BCH,บริษัท บางกอก เชน ฮอสปิทอล จำกัด (มหาชน),BANGKOK CHAIN HOSPITAL PUB CO,https://s3-symbol-logo.tradingview.com/bangkok-chain-hospital.svg
SET:BCP,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),BANGCHAK CORPORATION PCL,https://s3-symbol-logo.tradingview.com/bangchak-corporation-public-company.svg
SET:BCPG,บริษัท บีซีพีจี จำกัด (มหาชน),BCPG PCL,https://s3-symbol-logo.tradingview.com/bcpg.svg
SET:BCT,บริษัท เบอร์ล่า คาร์บอน (ไทยแลนด์) จำกัด (มหาชน),BIRLA CARBON (THAILAND) PCL,https://s3-symbol-logo.tradingview.com/birla-carbon-thailand-public-company.svg
SET:BDMS,บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน),BANGKOK DUSIT MEDICAL SERVICES,https://s3-symbol-logo.tradingview.com/bangkok-dusit-medical-services.svg
SET:BE8,บริษัท เบริล 8 พลัส จำกัด (มหาชน),BERYL 8 PLUS PCL,https://s3-symbol-logo.tradingview.com/beryl-8-plus.svg
SET:BEAUTY,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),BEAUTY COMMUNITY PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/beauty-community-public-company-limited.svg
SET:BEC,บริษัท บีอีซี เวิลด์ จำกัด (มหาชน),BEC WORLD,https://s3-symbol-logo.tradingview.com/bec-world.svg
SET:BEM,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),BANGKOK EXPRESSWAY AND METRO PCL,https://s3-symbol-logo.tradingview.com/bangkok-expressway-and-metro.svg
SET:BEYOND,บริษัท เบาด์ แอนด์ บียอนด์ จำกัด (มหาชน),BOUND AND BEYOND PCL,https://s3-symbol-logo.tradingview.com/bound-and-beyond-pcl-non-voting.svg
SET:BGC,บริษัท บีจี คอนเทนเนอร์ กล๊าส จำกัด (มหาชน),BG CONTAINER GLASS PLC,https://s3-symbol-logo.tradingview.com/bg-container-glass-plc-non-voting.svg
SET:BGRIM,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน),BGRIMM POWER PCL,https://s3-symbol-logo.tradingview.com/b-grimm-power.svg
SET:BGT,บริษัท บีจีที คอร์ปอเรชั่น จำกัด (มหาชน),BGT CORP PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/bgt-public-co-ltd-non-voting.svg
SET:BH,บริษัท โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน),BUMRUNGRAD HOSPITAL CO,https://s3-symbol-logo.tradingview.com/bumrungrad-hospital.svg
SET:BIG,บริษัท บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน),BIG CAMERA CORP,https://s3-symbol-logo.tradingview.com/big-camera.svg
SET:BIOTEC,บริษัท ไบโอ กรีน เอ็นเนอร์ยี่ เทค จำกัด (มหาชน),BIO GREEN ENERGY TECH PCL,https://s3-symbol-logo.tradingview.com/bio-green-energy-tech-pcl-non-voting.svg
SET:BIS,บริษัท ไบโอซายน์ แอนิมัล เฮลธ์ จำกัด (มหาชน),BIOSCIENCE ANIMAL HEALTH PCL,https://s3-symbol-logo.tradingview.com/bioscience-animal-health-pcl-non-voting.svg
SET:BIZ,บริษัท บิสซิเนสอะไลเม้นท์ จำกัด (มหาชน),BUSINESS ALIGNMENT PCL,https://s3-symbol-logo.tradingview.com/business-alignment-pcl-non-voting.svg
SET:BJC,บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน),BERLI JUCKER PCL,https://s3-symbol-logo.tradingview.com/berli-jucker.svg
SET:BJCHI,บริษัท บีเจซี เฮฟวี่ อินดัสทรี จำกัด (มหาชน),BJC HEAVY INDUSTRIES PCL,https://s3-symbol-logo.tradingview.com/bjc-heavy-industries-pcl-non-voting.svg
SET:BKA,บริษัท บางกอก แอสเซท อินเตอร์กรุ๊ป จำกัด (มหาชน),BANGKOK ASSET INTERGROUP PCL,https://s3-symbol-logo.tradingview.com/bangkok-asset-intergroup-pcl-non-voting.svg
SET:BKD,บริษัท บางกอก เดค-คอน จำกัด (มหาชน),BANGKOK DEC-CON PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/bangkok-dec-con-public-company-ltd-non-voting.svg
SET:BKGI,บริษัท แบงคอกจีโนมิกส์อินโนเวชั่น จำกัด (มหาชน),BANGKOK GENOMICS INNOVATION PUBLIC,https://s3-symbol-logo.tradingview.com/bangkok-genomics-innovation-public-non-voting.svg
SET:BKIH,บริษัท บีเคไอ โฮลดิ้งส์ จำกัด (มหาชน),BKI HOLDINGS PUBLIC COMPANY LIMITED,https://s3-symbol-logo.tradingview.com/bki-public-company-limited-non-voting.svg
SET:BLA,บริษัท กรุงเทพประกันชีวิต จำกัด (มหาชน),BANGKOK LIFE ASSURANCE PUBLIC CO LT,https://s3-symbol-logo.tradingview.com/bangkok-life-assurance.svg
SET:BLAND,บริษัท บางกอกแลนด์ จำกัด (มหาชน),BANGKOK LAND PUBLIC COMPANY LIMITED,https://s3-symbol-logo.tradingview.com/bangkok-land-public-company-limited.svg
SET:BLC,บริษัท บางกอกแล็ป แอนด์ คอสเมติค จำกัด (มหาชน),BANGKOK LAB AND COSMETIC PCL,https://s3-symbol-logo.tradingview.com/bangkok-lab-and-cosmetic-pcl-non-voting.svg
SET:BLESS,บริษัท เบล็ส แอสเสท กรุ๊ป จำกัด (มหาชน),BLESS ASSET GROUP PCL,https://s3-symbol-logo.tradingview.com/bless-asset-pcl-non-voting.svg
SET:BM,บริษัท บางกอกชีทเม็ททัล จำกัด (มหาชน),BANGKOK SHEET METAL PCL,https://s3-symbol-logo.tradingview.com/bangkok-sheet-metal-pcl-non-voting.svg
SET:BOL,บริษัท บิซิเนส ออนไลน์ จำกัด (มหาชน),BUSINESS ONLINE PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/business-online-public-company-limited.svg
SET:BPP,บริษัท บ้านปู เพาเวอร์ จำกัด (มหาชน),BANPU POWER PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/banpu-power-public-company-limited.svg
SET:BPS,บริษัท บีพีเอส เทคโนโลยี จำกัด (มหาชน),BPS TECHNOLOGY PUBLIC COMPANY LIMIT,https://s3-symbol-logo.tradingview.com/bps-technology-public-company-limit-non-voting.svg
SET:BR,บริษัท บางกอกแร้นช์ จำกัด (มหาชน),BANGKOK RANCH PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/bangkok-ranch-public-co-ltd-non-voting.svg
SET:BRI,บริษัท บริทาเนีย จำกัด (มหาชน),BRITANIA PCL,https://s3-symbol-logo.tradingview.com/britania-pcl-non-voting.svg
SET:BROCK,บริษัท บ้านร็อคการ์เด้น จำกัด (มหาชน),BAAN ROCK GARDEN PCL,https://s3-symbol-logo.tradingview.com/baan-rock-garden-pcl-non-voting.svg
SET:BRR,บริษัท น้ำตาลบุรีรัมย์ จำกัด (มหาชน),BURIRAM SUGAR PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/buriram-sugar-public-co-ltd-non-voting.svg
SET:BSBM,บริษัท บางสะพานบาร์มิล จำกัด (มหาชน),BANGSAPHAN BARMILL PCL,https://s3-symbol-logo.tradingview.com/bangsaphan-barmill.svg
SET:BSM,บริษัท บิวเดอสมาร์ท จำกัด (มหาชน),BUILDERSMART PCL,https://s3-symbol-logo.tradingview.com/buildersmart-pcl-non-voting.svg
SET:BSRC,บริษัท บางจาก ศรีราชา จำกัด (มหาชน),BANGCHAK SRIRACHA PCL,https://s3-symbol-logo.tradingview.com/esso-thailand-public-company-limited.svg
SET:BTC,บริษัท บรุ๊คเคอร์ กรุ๊ป จำกัด (มหาชน),BROOKER GROUP PUBLIC CO (THE),https://s3-symbol-logo.tradingview.com/the-brooker-group.svg
SET:BTG,บริษัท เบทาโกร จำกัด (มหาชน),BETAGRO PCL,https://s3-symbol-logo.tradingview.com/betagro-pcl-non-voting.svg
SET:BTNC,บริษัท บูติคนิวซิตี้ จำกัด (มหาชน),BOUTIQUE NEWCITY CO,https://s3-symbol-logo.tradingview.com/boutique-newcity-co-non-voting.svg
SET:BTS,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),BTS GROUP HOLDINGS PCL,https://s3-symbol-logo.tradingview.com/bts-group-holdings.svg
SET:BTW,บริษัท บีที เวลธ์ อินดัสตรีส์ จำกัด (มหาชน),BT WEALTH INDUSTRIES PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/bt-wealth-industries-public-co-ltd-non-voting.svg
SET:BUI,บริษัท บางกอกสหประกันภัย จำกัด (มหาชน),BANGKOK UNION INSURANCE,https://s3-symbol-logo.tradingview.com/bangkok-union-insurance-non-voting.svg
SET:BVG,บริษัท บลูเวนเจอร์ กรุ๊ป จำกัด (มหาชน),BLUEVENTURE GROUP PCL,https://s3-symbol-logo.tradingview.com/blueventure-pcl-non-voting.svg
SET:BWG,บริษัท เบตเตอร์ เวิลด์ กรีน จำกัด (มหาชน),BETTER WORLD GREEN PCL (BWG),https://s3-symbol-logo.tradingview.com/better-world-green.svg
SET:BYD,บริษัทหลักทรัพย์ บียอนด์ จำกัด (มหาชน),BEYOND SECURITIES PCL,https://s3-symbol-logo.tradingview.com/beyond-securities.svg
SET:CAZ,บริษัท ซี เอ แซด (ประเทศไทย) จำกัด (มหาชน),CAZ (THAILAND) PCL,https://s3-symbol-logo.tradingview.com/caz-thailand.svg
SET:CBG,บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน),CARABAO GROUP PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/carabao-group.svg
SET:CCET,บริษัท แคล-คอมพ์ อีเล็คโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),CAL-COMP ELECTRONICS(THAILAND),https://s3-symbol-logo.tradingview.com/cal-comp-electronics-thailand.svg
SET:CCP,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน),CHONBURI CONCRETE PRODUCT PUBLIC CO,https://s3-symbol-logo.tradingview.com/chonburi-concrete-product-public-co-non-voting.svg
SET:CEN,บริษัท แคปปิทอล เอ็นจิเนียริ่ง เน็ตเวิร์ค จำกัด (มหาชน),CAPITAL ENGINEERING NETWORK PUB CO.,https://s3-symbol-logo.tradingview.com/capital-engineering-network-pub-co-non-voting.svg
SET:CENTEL,บริษัท โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน),CENTRAL PLAZA HOTEL,https://s3-symbol-logo.tradingview.com/central-plaza-hotel.svg
SET:CEYE,บริษัท ตาชำนิ จำกัด (มหาชน),CHAMNI'S EYE PCL,https://s3-symbol-logo.tradingview.com/chamni-s-eye-pcl-non-voting.svg
SET:CFARM,บริษัท ชูวิทย์ฟาร์ม (2019) จำกัด (มหาชน),CHUWIT FARM (2019) PUBLIC COMPANY L,https://s3-symbol-logo.tradingview.com/chuwit-farm-2019-public-company-l-non-voting.svg
SET:CFRESH,บริษัท ซีเฟรชอินดัสตรี จำกัด (มหาชน),SEAFRESH INDUSTRY PUBLIC COMPANY,https://s3-symbol-logo.tradingview.com/seafresh-industry.svg
SET:CGD,บริษัท คันทรี่ กรุ๊ป ดีเวลลอปเมนท์ จำกัด (มหาชน),COUNTRY GROUP DEVELOPMENT PCL,https://s3-symbol-logo.tradingview.com/country-development-pcl-non-voting.svg
SET:CGH,บริษัท คันทรี่ กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),COUNTRY GROUP HOLDINGS PCL,https://s3-symbol-logo.tradingview.com/country-group-holdings.svg
SET:CH,บริษัท เจริญอุตสาหกรรม จำกัด (มหาชน),CHIN HUAY PCL,https://s3-symbol-logo.tradingview.com/chin-huay-pcl-non-voting.svg
